Logging to ./data/CartPole-v0_ppo/ppo_3567743922/
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 23       |
|    ep_rew_mean     | 23       |
| time/              |          |
|    fps             | 34       |
|    iterations      | 1        |
|    time_elapsed    | 0        |
|    total_timesteps | 32       |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 16.5         |
|    ep_rew_mean          | 16.5         |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 2            |
|    time_elapsed         | 1            |
|    total_timesteps      | 64           |
| train/                  |              |
|    approx_kl            | 0.0022899676 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.692       |
|    explained_variance   | 0.0182       |
|    learning_rate        | 0.0003       |
|    loss                 | 6.55         |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.00478     |
|    value_loss           | 13.7         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 16.5          |
|    ep_rew_mean          | 16.5          |
| time/                   |               |
|    fps                  | 73            |
|    iterations           | 3             |
|    time_elapsed         | 1             |
|    total_timesteps      | 96            |
| train/                  |               |
|    approx_kl            | 6.8949535e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -0.692        |
|    explained_variance   | 0.101         |
|    learning_rate        | 0.0003        |
|    loss                 | 8.12          |
|    n_updates            | 40            |
|    policy_gradient_loss | 0.000197      |
|    value_loss           | 16.8          |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 36            |
|    ep_rew_mean          | 36            |
| time/                   |               |
|    fps                  | 86            |
|    iterations           | 4             |
|    time_elapsed         | 1             |
|    total_timesteps      | 128           |
| train/                  |               |
|    approx_kl            | 0.00036013685 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -0.693        |
|    explained_variance   | 0.27          |
|    learning_rate        | 0.0003        |
|    loss                 | 7.26          |
|    n_updates            | 60            |
|    policy_gradient_loss | -0.00216      |
|    value_loss           | 15.9          |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 34.8          |
|    ep_rew_mean          | 34.8          |
| time/                   |               |
|    fps                  | 96            |
|    iterations           | 5             |
|    time_elapsed         | 1             |
|    total_timesteps      | 160           |
| train/                  |               |
|    approx_kl            | 0.00010209903 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -0.693        |
|    explained_variance   | 0.0955        |
|    learning_rate        | 0.0003        |
|    loss                 | 6.23          |
|    n_updates            | 80            |
|    policy_gradient_loss | -0.000559     |
|    value_loss           | 13.2          |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 31            |
|    ep_rew_mean          | 31            |
| time/                   |               |
|    fps                  | 104           |
|    iterations           | 6             |
|    time_elapsed         | 1             |
|    total_timesteps      | 192           |
| train/                  |               |
|    approx_kl            | 1.1099502e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -0.693        |
|    explained_variance   | 0.123         |
|    learning_rate        | 0.0003        |
|    loss                 | 5.74          |
|    n_updates            | 100           |
|    policy_gradient_loss | -0.000128     |
|    value_loss           | 12.5          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 24.4         |
|    ep_rew_mean          | 24.4         |
| time/                   |              |
|    fps                  | 112          |
|    iterations           | 7            |
|    time_elapsed         | 1            |
|    total_timesteps      | 224          |
| train/                  |              |
|    approx_kl            | 0.0029297192 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.692       |
|    explained_variance   | -0.399       |
|    learning_rate        | 0.0003       |
|    loss                 | 4.19         |
|    n_updates            | 120          |
|    policy_gradient_loss | -0.0102      |
|    value_loss           | 9.62         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 24.4        |
|    ep_rew_mean          | 24.4        |
| time/                   |             |
|    fps                  | 118         |
|    iterations           | 8           |
|    time_elapsed         | 2           |
|    total_timesteps      | 256         |
| train/                  |             |
|    approx_kl            | 0.011814013 |
|    clip_fraction        | 0.0422      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.674      |
|    explained_variance   | -0.318      |
|    learning_rate        | 0.0003      |
|    loss                 | 3.31        |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.0159     |
|    value_loss           | 7.42        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 25.6         |
|    ep_rew_mean          | 25.6         |
| time/                   |              |
|    fps                  | 122          |
|    iterations           | 9            |
|    time_elapsed         | 2            |
|    total_timesteps      | 288          |
| train/                  |              |
|    approx_kl            | 0.0007701479 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.681       |
|    explained_variance   | -1.34        |
|    learning_rate        | 0.0003       |
|    loss                 | 8            |
|    n_updates            | 160          |
|    policy_gradient_loss | -0.00625     |
|    value_loss           | 17.6         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 25.6        |
